ID	ENGLISH	POS GLOSS
1838	centime (n.)	a aw chuah cu 'sawnthiim' ti a si. France tangka franc pakhat cheu za khat i cheu khat.
1839	centimeter (n.)	meter pakhat cheu za khat i cheu khat.
1840	centipede (n.)	sakhithat , rawci , tthiamtthiam
1841	central (adj.)	a laifang a simi , hmunpi simi
1842	centralization (n.)	a lai i burnak
1843	centralize (v.)	a lai i bur
1844	centrifugal (adj.)	a laifang in lenglei ah a chuakmi
1845	centripetal (adj.)	a lenglei in a laifanglei ah a lutmi
1846	century (n.)	kum zabu, kum zabu pakhatnak cu kum 1 in 100 tiang hi a si
1847	cereal (n.)	rawl, buh phun paoh; e.g. Facang, fangvoi, changvut, etc.
1848	cerebellum (n.)	lubik lei i a ummi luthluak
1849	cerebral (adj.)	thluak lei he aa pehtlaimi thil
1850	cerebrum (n.)	cal lei thluak
1851	ceremonial (adj.)	phungphai ngei in tuahmi thil
1852	ceremonious (adj.)	phungphai a ngei ngaimi thil
1853	ceremony (n.)	phungphai, phunglam; e.g. The marriage ceremony was performed in the church = Tthitumhnak phungphai cu biakinn chungah an tuah.
1854	certain (adj.)	1. a si hrimhrim ti zumh; e.g. I am certain that he has gone home = Inn ah a tlung cang tiah ka zumh hrimhrim; 2. a si hrimhrim lai; e.g. Spring is certain to follow winter = Thal caan nih khuasik caan cu a hun zulh hrimhrim lai; 3. cu zat ti cu a fiang, sihmanhselaw min chim a um lo, mi cheukhat
1855	certainly (adv.)	pel lo tein
1856	certificate (n.)	a si hrimhrim tinak lehhmah
1857	certify (v.)	a si hrimhrim tiah ti , ka chim zongin , cattial zongin
1858	cesspool (n.)	hnawm luannak khor
1859	chafe (v.)	1. hnor, muai; 2. lah; e.g. The stiff collar chafes my neck = Angki hngawng tthawng nih ka hngawnga ka lah.
1860	chaff (n.)	favai , fahi
1861	chagrin (n.)	lungrawhnak; e.g. John felt chagrin because he did not get a prize = John cu laksawng a hmuh lo caah a lung a rawk.
1862	chain (n.)	cikcin , aa pehmi thir cikcin kual tete
1863	chair (n.)	hngauh ngeimi tthutdan
1864	chairman (n.)	lutlai
1865	chalice (n.)	Bawipa Zanriah i hmanmi hrai
1866	chalk (n.)	thungrang
1867	chalk (v.)	thungrang in ttial
1868	challenge (v.)	zuam
1869	challenge (n.)	zuamnak , ahodah a tthawng deuh ti i zuamnak bantuk khi
1870	challenger (n.)	zuamtu
1871	chamber (n.)	1. innchung khan, ihnak khan; 2. phunglam sertubu an i phumhnak khan; 3. phunglam sertu bu; e.g. the United States has two chambers, the Senate and the House of Representatives = United States nih phunglam sertu bu pahnih a ngeih hna, Senate le House of Representatives an si. 4. chaw lehthalnak ca i a bu in rian a ttuanmi hna; e.g. Chamber of Commerce; 5. meithal thirpi zentong rawnnak zawn.
1872	chameleon (n.)	conghrang (kinglang)
1873	champagne (n.)	zu thaw ngai phun
1874	champion (n.)	1. hawi nakin a tthawng cemmi; e.g. He is the swimming champion of the world = Amah cu vawleicung tileuh tthawng bik a si; 2. mi dang ca, a si lo le, thil pakhatkhat ca i a chim a reltu; e.g. He is the champion of peace = Amah cu daihnak kong chim reltu bik a si.
1875	championship (n.)	a si biktu sinak
1876	chance (n.)	caan ttha , vantthat caan
1877	chancel (n.)	biakinn chung biakttheng pawng hrawng , tlangbawi nih an hmanmi hmun khi
1878	chancellor (n.)	bawi ngan; e.g. University saya ngan bik, ram khat chung i nawl a ngeitu bik, tangka bawi ngan bik.
1879	chandelier (n.)	thing nge bantuk in tettermi ceunak , elektrik bawl in ceutermi
1880	change (v.)	thlen
1881	change (n.)	1. tangka nek; 2. thlennak. change hands = ngeitu i thlen; change of heart = lungthlen.
1882	changeable (adj.)	aa thleng khomi
1883	changeful (adj.)	aa thleng lengmangmi.
1884	changeless (adj.)	aa thleng bal lomi
1885	channel (n.)	1. rili le rili aa pehnak; e.g. English Channel; 2. tiluannak
1886	chant (v.)	biachim tik i hlasak in sak
1887	chaos (n.)	ning le cang zeihmanh ngei lo i i cawh nelnul i um
1888	chaotic (adj.)	ningcang zeihmanh a ngei lomi
1889	chapel (n.)	biakinn hmete
1890	chaperon (n.)	nupi ngei ciami, asiloah vangei ciami, ngaknu tlangval a bu in an umnak i a zohkhenhtu hna
1891	chaplain (n.)	ralkap sin rianttuantu pastor
1892	chapter (n.)	1. cauk chung i tthennak; 2. biaknak bu chung i hruaitu pawl a bu bu in aa tthenmi hna
1893	character (n.)	1. ziaza, sining; e.g. His character is good = A ziaza a ttha. 2. Drama chung maw asiloah tuanbia chung i minung; e.g. The most important character in the story is a young doctor = Tuanbia chung i a biapi bikmi a simi cu sibawi note kha a si. 3. hawi lo deuh lo, nihchuak deuh a simi; e.g. The old man was a character in the village = Tarpa cu an khua chungah khan hawi lo lo deuh a si.
1894	characteristic (n.)	hawi dang he i lawh lonak mah siningte a langhtertu
1895	characteristically (adv.)	amah sining a langhning tein
1896	characterization (n.)	a zia ningte kha langhternak
1897	characterize (v.)	ziaza ningte langhter
1898	charcoal (n.)	meihol
1899	charge (v.)	1. man chiah; e.g. How much do you charge for this bread = Hi changreu hi a man zeizatdah na hauh? 2. rawn, meithal chung zen rawn; 3. hmailei i choi cutmat; e.g. He charged toward the door to escape = Zam awkah innka lei ah a choi cutmat; 4. sual puh; e.g. They charged him with murder = Lainawn an puh; 5. Charge it to my account = Keimah cham awkah rak chia.
1900	charge (n.)	1. sual puhnak; e.g. A criminal charge has been made against him = Ziaza tthatlo sualnak kha an puh; 2. zohkhenh-nak, tavuan; e.g. The books in the library are under his charge = Libray i cauk hna cu amah zohkhenhmi an si; 3. man; e.g. Their charge for the food was high = An rawl man huahmi a sang; 4. elektric tha; e.g. Electric charge is conducted by wire = Elektrik tha cu thirhri in kalpi a si. in charge of = zoh khenhtu.
1901	chargeable (adj.)	Sual puh khawh; e.g If you take somebody's money, you are chargeable with theft = Mi dang tangka na lak aheun fir puh khawh na si.
1902	chariot (n.)	rangleng
1903	charioteer (n.)	rangleng mawngtu
1904	charitable (adj.)	mi nunsiang
1905	charity (n.)	sifak rethei bawmhnak
1906	charlatan (n.)	hngalhnak ngei set tung lo i a hngal ngai bantukin a ummi
1907	charm (n.)	iang
1908	charming (adj.)	iang a ngeimi , aa dawhmi
1909	chart (n.)	1. tilawng cong pawl nih an hmanmi hmanthlak, rili le a kam le lung umnak le ti puanhnak a langhter dihtu; 2. cazin; e.g. thil man tarnak cazin.
1910	charter (n.)	1. uktu bawi nih asiloah utubu nih thil tuah khawhnak caah nawl an peknak ca; e.g. The charter permits the bank to open an office in London = Nawl peknak ca nih hi bengh (bank) cu London khua ah zung phonhnak nawl a pek; 2. rianttuantubu pakhatkhat duhnak le tinhmi aa ttialnak ca; e.g. United Nations Charter.
1911	charter (v.)	1. nawlngeihnak he fehter; e.g. The Serampore College was chartered in the 19th century = Serampore College cu kum zabu hleikua chungah khan fehter a si. 2. hlan; e.g. They chartered a plane = Vanlawng pakhat a ningpi in an hlan.
1912	Charybdis (n., prop.)	Scylla lungpi i a ummi tikherh, cu tikherh ah cun tilawng tampi an pil tawn; cucaah phungthluk bia a um i, between Scylla and Charybdis ti a si i a sullam cu ttihnung pahnih karlak i um, ti a si; kan Lai phungthluk i fei le nam karah ti bantuk khi a si.
1913	chase (v.)	dawi , tthawl
1914	chasm (n.)	1. leikak kaupi; 2. bu hnih karlak i ruahnak aa tthenmi
1915	chaste (adj.)	thianghlim.
1916	chasten (v.)	chimhrin
1917	chastisement (n.)	chimhrinak
1918	chastity (n.)	thiannak, nu le pa kong i thiannak
1919	chat (v.)	bia i ruah
1920	chauffeur (n.)	mawttawmawng
1921	cheap (adj.)	man fawi , man tlawm , a chia deuh
1922	cheat (v., n.)	hlen, lihchim.
1923	check (v.)	1. chek; e.g. Check your things = Na thil kha chek hna 2. donh; e.g. The dam checked the flow of water = Tikhamnak nih ti luan kha a donh; 3. zoh piak dingin chiah ta; e.g. Check your hat at the door = Na luchin kha innka ah chiata ko. check in = hotel ah tlun i cazin chungah min khumh; check out = hotel um man pek i chuah.
1924	check (n.)	1. chek, tangka cu zat in rak pe hna, ti ttialnak ca. 2. rawl cinak hmun i cimi man zeizat dah a si ti ttialnak ca. 3. (  ) hmelchunhnak. 4. U.S. Bank i tangka chiahnak le laknak lehhmah. (British. cheque)
1925	cheque (n.)	British. Bank i tangka chiahnak le laknak lehhmah. U.S. check, zoh. check
1926	up (n.)	sibawi i zohter.
1927	checkbook (n.)	chek ttialnak cauk
1928	checkroom (n.)	zapi umnak inn i angkite hna luchin te hna chiahnak khan
1929	cheek (n.)	biang , bel
1930	cheer (v.)	lunglawmh in rak aupiak
1931	cheer (n.)	1. lunglawmhnak aw thawng; 2. lawmhtertu bia cheer
1932	up (v.)	lawmhter
1933	cheerful (adj.)	lunglawmmi
1934	cheerfully (adv.)	lunglawm ngaiin
1935	cheese (n.)	cawhnuk khal
1936	chef (n.)	rawlchuangtu a thiam ngaingaimi
1937	chemical (n.)	chemistry he aa pehtlaimi thil.
1938	chemist (n.)	chemistry a cawng i a thiammi.
1939	chemistry (n.)	vawlei chung thil a konglam dothlatnak fimnak, zei in dah ser an si, zeitindah an umtuning a si, zeitindah pakhat le pkhat an i tthen le an i fonh tikan zei thil dang dah a chuak ti te hna cawnnak.
1940	cherish (v.)	1. dawtnak le nem tein tuahtao; e.g. A mother cherished her child = A nu nih a fate kha dawtnak le nem tein a tuahtao; 2.lungchung i i chiah peng; e.g. She cherished the memory of her parents = A nu le a pa a lung chung in a hngalh peng hna.
1941	cherry (n.)	phaizawng
1942	cherub (n.)	vancungmi
1943	chess (n.)	ches lentecelhnak
1944	chest (n.)	1. taang; 2. thingkuang
1945	chew (v.)	khai
1946	chick (n.)	arfate
1947	chicken (n.)	ar paoh
1948	chicken pox (n.)	cuar bo zawtnak phun khat
1949	chide (v.)	sik, mawhchiat
1950	chief (n.)	bu khat chung lu , upa bik , nawl ngeitu bik
1951	chiefly (adv.)	a biapi bik ahcun
1952	chieftain (n.)	phun khat chung hruaitu bik
1953	child (n.)	ngakchia
1954	childish (adj.)	ngakchia hrut bantuk
1955	childless (adj.)	fa ngei lo
1956	childlike (adj.)	ngakchia bantukin duh a nungmi
1957	children (n.)	ngakchia pakhat nak tam
1958	chili (n.)	makphek
1959	chill (n.)	kihnak
1960	chilly (adj.)	a kikmi, thli kik.
1961	chill (v.)	kihter
1962	chime (n.)	darkhing rual aw
1963	chimney (n.)	1. meikhu chuahnak; 2. mei inn thlalang
1964	chimpanzee (n.)	zawng phun khat , minung naih bikmi
1965	chin (n.)	khabe
1966	China (n., prop.)	1. Tuluk ram; 2. a kuai khomi hol pakan, hrai, ...
1967	Chinese (n., prop.)	Tuluk mi
1968	Chinese (adj., prop.)	Tuluk thil, Tuluk holh.
1969	chink (n.)	a awnnak , a pemnak
1970	chip (n.)	1. thingpel, lungpel; 2. a pelte a beohnak hmun; e.g. There is a chip on his front teeth = A hmailei ha ah a beohnak te a um.
1971	chip (v.)	1. beuh; e.g. Do not chip the dish when you wash it = Kheng kha na ttawl tikah beuhter hlah. 2. themh, thing, themh, lung themh
1972	chipmunk (n.)	leittial
1973	chirp (v.)	vate awnh
1974	chit (n.)	British.  catlap hmete ttialpiakmi.
1975	chivalry (n.)	patling zaiza; e.g. Raltthat tehna, hawi zawnruah tehna
1976	chloroform (n.)	fah theih lonak si
1977	chlorophyll (n.)	thingkung ramkung hrinnak a petu
1978	chocolate (n.)	cacao thingthei an phomh i a dipmi, kuku.
1979	chocolate (adj.)	choklet zawng (mui) a simi
1980	choice (n.)	1. thimnak; 2. duhmi te i thimmi; e.g. He married the girl of his choice = Amah nih aa thimmi ngaknute kha aa tthit.
1981	choir (n.)	hlaremh bu
1982	choke (v.)	1. hngawng dih; 2. hak; e.g. He was choking on a piece of meat = Sa a hak. 3. tthan donh; e.g. Weeds choke the growth of the tree = Belh nih thingkung tthan a donh.
1983	cholera (n.)	ngal-cu zawtnak
1984	choose (v.)	thim
1985	chop (v.)	hau , tan
1986	chop (n.)	savo chung i a ruh aa telmi; e.g. Lamb chops = tuu savo a chung i a ruh aa telmi.
1987	chopsticks (n.)	Tuluk rawl cinak fung tete
1988	chord (n.)	kitar hri , aw ttumnak hri , rirawt hri
1989	chore (n.)	rian hme tete
1990	chorus (n.)	1. hmun khat i hla a sami bu; 2. hlacang nolhnak
1991	chose (v.)	past tense of choose, thim.
1992	chosen (v.)	past participle of choose, thim.
1993	Christ (n., prop.)	Khrih.
1994	Christendom (n., prop.)	Khrihfaram.
1995	Christian (n., prop.)	Khrihfa.
1996	Christianity (n., prop.)	Khrihfa phung.
1997	Christmas (n., prop.)	Khrismas.
1998	chronic (adj.)	saupi a ummi zawtnak
1999	chronicle (n.)	chanrelnak tuanbia
2000	chronicler (n.)	chanrelnak ttialtu, tuanbia ttialtu
2001	chronological (adj.)	aa dot thliahmah in ttialmi
2002	chronology (n.)	caan kong tuaktannak cawnnak
2003	chuckle (n.)	nih din
2004	chuckle (v.)	dai tein nih
2005	chunk (n.)	a pel nganpi
2006	church (n.)	1. biakinn; 2. Khrifahbu
2007	churchyard (n.)	biakinn pawngkam , tual
2008	churl (n.)	mibelbul
2009	churn (v.)	cawh, cawhnuk thawhphat ser i heh ti i cawh, cu bantukin kan pawpi chung i rawl aa cawh khi
2010	cigar (n.)	kuak
2011	cigarette (n.)	sikkaret.
2012	cinders (n.)	meihol
2013	cinema (n.)	baisikup
2014	cinnamon (n.)	nakzik , thakhling
2015	cipher (n.)	0, mi dangn hngalh lo awk i ttialmi bia
2016	circle (n.)	a pum; ( O )
2017	circle (v.)	kulh , vel
2018	circuit (n.)	1. vel; e.g. The moon makes a circuit around the earth once a month =Thlapa nih vawlei cu thla khat ah voi khat a vel. 2. Methodist pastor nih vel khat in a tlawnmi khua hna; 3. elektrik tha nih a zulhmi lam.
2019	circuitous (adj.)	a vel in kal
2020	circular (n.)	mi sin phawt ding i ttialmi ca
2021	circular (adj.)	circle bantukin a pummi.
2022	circulate (v.)	1. i vel lengmang; 2. pakhat sinin pakhat sinah lanh lengmang; e.g. The news circulates rapidly = Thawngpang cu chikkhatte ah a lan lengmang.
2023	circulation (n.)	1. a vel in kal lengmangnak; 2. tadinca khawpi zat an phawtmi
2024	circumcise (v.)	cuarpartan
2025	circumcision (n.)	cuarpartannak
2026	circumference (n.)	a pummi thil i a kam , a tlang thluahmah
2027	circumlocution (n.)	aa vel ning in biachim
2028	circumstance (n.)	thil umtuning
2029	circumstantial (adj.)	thil umtuning he aa pehtlaimi
2030	circus (n.)	sarkas
2031	cistern (n.)	tikhonnak
2032	citadel (n.)	ralhau , ruhkhulh
2033	citation (n.)	mintthatnak peknak
2034	cite (v.)	1. mi dang chimmi bia vun lak, vun chim; 2. zung i kawh; e.g. He was cited for drunk driving = Zurit bu mawtaw mongh ruangah zung ah an kawh; 3. mintthatnak lehhmah pek; e.g. The soldier was cited for bravery = Ral kap cu raltthat ruangah mintthatnak an pek.
2035	citizen (n.)	ramchung mi
2036	citizenship (n.)	ramchung mi sinak
2037	city (n.)	khuapi , khuanganpi
2038	civic (adj.)	khua he aa pehtlaimi kong, ramchung mi sinak he aa pehtlaimi thil hna; e.g. Every person has civic duties, such as obeying the laws and paying taxes = Mi kip nih khua le ram he aa pehtlaimi rian ngeih cio a si: upadi zulh tehna, ngunkhuai pek tehna.
2039	civics (n.)	khua le ram mi sining cawnnak
2040	civil (adj.)	1. ramchung mi sinak he a pehtlaimi; e.g. Civil rights = Ramchung mi a simi nih an hmuh awk le an tuah awk a simi thil hna; 2. aa dawh ngai i a rem ngaimi; e.g. He made a civil answer to his question = A biahalnak kha dawh ngai le rem ngaiin a leh.
2041	civil service (n.)	cozah rian, ralkap rian a si lomi
2042	civil war (n.)	ram chung i mah le mah aa domi raldohnak
2043	civilian (n.)	ramchung mi , ralkap a si lomi hna
2044	civilization (n.)	fimnak , fimnak nunning le umtuning
2045	claim (v.)	1. ka ta a si ti i chim; 2. cucu ka si ti i mah nih chim
2046	clamor (n.)	fak piin au le khuan
2047	clamor (v.)	aukhuan bu in i cuh; e.g. The children clamored for candy = Ngakchia cu aukhuang lulhmalh in mutthai an i cuh.
2048	clamp (n.)	thing rehnak
2049	clamp (v.)	reh
2050	clan (n.)	chung , phun
2051	clandestine (adj.)	a thli tein tuahmi thil
2052	clang (n.)	darkhing aw
2053	clap (v.)	1. kut bengh; 2. khulrang tein kut in huh; e.g. She clapped her hand over her mouth = Khulrang tein a ka kha a kut in aa huh.
2054	clap (n.)	thawngthang ngaimi; e.g. A clap of thunder = Khuari thawng a thang ngaimi
2055	clarification (n.)	fianternak
2056	clarify (v.)	fianter
2057	clarity (n.)	fiannak , thiannak
2058	clash (v.)	1. relchanh; e.g. Their opinions always clash = An ruahning aa ralchanh zungzal; 2. khawn, den; e.g. She clashed the teapot against the table = Lakphak um kha cabuai ah a khawn.
2059	clash (n.)	i ralchanhnak, i khawndennak
2060	clasp (v.)	kut in tlaih
2061	clasp (n.)	kuttlaih
2062	class (n.)	hmun khat, tangkhat i chimhmi siangngakchiabu, cu bantukin rian lei zongah aa bumi
2063	classic (n., adj.)	a ttha ngaingaimi thil i ruahmi
2064	classified (adj.)	bia thlithup i chiahmi
2065	classify (v.)	a bu a bu in tthen
2066	classmate (n.)	class khat a simi.
2067	clatter (v.)	cu bantukin an i khawn khi
2068	clatter (n.)	pakan tehna an i khawn lulhmalh i a thawng khi
2069	clause (n.)	biatlang pakhat chung i tthen khat; e.g. "I knew him when he was a boy." = "Hi biatlang
2070	claw (n.)	tintte , chizawh tin , sobul tte
2071	clay (n.)	vawlei , tlak
2072	clean (v.)	thianter , thianh
2073	clean (adj.)	a thiangmi
2074	cleaner (n.)	thiantertu, puansutu
2075	cleanliness (n.)	thiannak
2076	cleanness (n.)	thiannak
2077	cleanse (v.)	thianh
2078	clear (adj.)	1. a fiang, a piang; 2. dawntu zeihmanh a um lo; e.g. The road is clear = Lam cu a tliang ko; dawntu zeihmanh a um lo.
2079	clear (v.)	1. tthial; e.g. Clear the table = Cabuai cung i a ummi thil kha tthial hna; 2. a sual lo ti fianter i luatter; e.g. The lawyer cleared the accused = Sihni nih sual puhmi leha a luatter; 3. piang; e.g. The weather will be clear = Nikhua a piang lai.
2080	clearing (n.)	lovahmi
2081	clearness (n.)	fiannak
2082	cleave (v.)	cheu
2083	clemency (n.)	zaangfahnak
2084	clement (adj.)	zaangfahnak a ngeimi
2085	clench (v.)	fek tein rialchih
2086	clergy (n.)	biaknak lei rianttuantu bu
2087	clerical (adj.)	cazi rian a simi
2088	clerk (n.)	cazi
2089	clever (adj.)	a fimmi, a thiammi; e.g. He is a clever carpenter = Amah cu lehtama thiam ngaimi a si.
2090	cleverness (n.)	fimnak, thiamnak
2091	click (n.)	tak tiah a awnmi khi; e.g. We heard the click as he cocked his pistol = A pistol a ttek a kau i a awnh thawng kha kan theih.
2092	click (v.)	tek ti i awnh dak; e.g. He clicks his tongue against me = A ka dakhnawh.
2093	client (n.)	1. thil cawtu; 2. midang bawmhnak aa bochanmi; e.g. Sihni a hlangtu
2094	cliff (n.)	lungpang
2095	climate (n.)	khuati
2096	climax (n.)	a sannak bik , a zik
2097	climb (v.)	kai, thingkung kai; e.g. She puffed as she climbed the hill = Tlang i a kai ah khan a thaw a ha.
2098	climber (n.)	i kaitu , thingkung i a kaimi
2099	clinch (v.)	hrenh , khenhchih , thir a fongmi khattelei le khattelei in khenhchih
2100	cling (v.)	benh, bek; e.g. Wet clothes cling to the body = Thil cin cu tak ah an i bek, benh.
2101	clinic (n.)	mizaw zohkhenhnak hmun
2102	clip (v.)	1. sammeh; 2. ca sawhnak thim
2103	clipper (n.)	1. lumehnak masin; 2. a khul a rangmi lawng
2104	clipping (n.)	tadinca chungin siseh, ca dangdang chungin siseh, duhnak zawn bia aa ttialnak i riammi
2105	clique (n.)	kortet , mahte lawng i bu hmete i ser
2106	cloak (n.)	angkileng a fualmi
2107	clock (n.)	caan relnak , suimilam
2108	clockwise (adv.)	suimilam kut kalning in kal , keh lei in vorh lei ah
2109	clog (v.)	hnawm i phih
2110	cloister (n.)	phungki pawl unmak inn
2111	close (adj.)	a naimi, naih; e.g. The school is close to my house = Sianginn cu kan inn naih ah a um.
2112	close (adv.)	pawngte; e.g. We walk close to the wall = Vampang pawngte in kan kal.
2113	close (n.)	donghnak; e.g. The meeting came to a close = Meeting cu donghnak a phan.
2114	close (v.)	khar; e.g. Close the door = Innka khar.
2115	closet (n.)	hnipuan chiahnak dal hmete
2116	cloth (n.)	puanthan
2117	clothe (v.)	puan aih , hnipuan pek
2118	clothes (n.)	hnipuan
2119	clothing (n.)	hnipuan
2120	cloud (n.)	khuadawm
2121	cloudy (adj.)	khua a dawm
2122	clown (n.)	nihchuaksaih a thiammipa
2123	club (v.)	thingtan in tuk
2124	club (n.)	1. thingtan; 2. mi phu khat in a ummi
2125	clue (n.)	hliah , la hliah
